observation_count,country,country_code,state,state_code,latitude,longitude,observation_date,year
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5587324,-58.4311187,2015-09-13,2015
0,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5621317,-58.4257221,2015-09-13,2015
0,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.562114,-58.4254861,2015-09-13,2015
4,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5290059,-58.4581178,2016-04-10,2016
3,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5630128,-58.4205794,2016-04-28,2016
6,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5587324,-58.4311187,2016-05-28,2016
4,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5621317,-58.4257221,2016-05-28,2016
5,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5290059,-58.4581178,2016-07-24,2016
2,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.565961,-58.427061,2016-11-05,2016
0,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.6114535,-58.3592033,2017-04-09,2017
2,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5290059,-58.4581178,2017-07-13,2017
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5989138,-58.3977842,2017-10-19,2017
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5373325,-58.4446478,2017-10-21,2017
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5415371,-58.4418148,2017-10-21,2017
1,Argentina,AR,San Luis,AR-D,-32.3485203,-67.2831702,2016-06-10,2016
3,Argentina,AR,San Luis,AR-D,-32.5928167,-66.1276531,2017-11-16,2017
0,Argentina,AR,Mendoza,AR-M,-32.9028311,-68.8459318,2016-02-01,2016
0,Argentina,AR,Santa Fe,AR-S,-32.9441489,-60.6445313,2015-12-18,2015
1,Argentina,AR,Córdoba,AR-X,-31.9579882,-64.5501709,2017-10-24,2017
1,Argentina,AR,Córdoba,AR-X,-31.4311166,-64.1776228,2013-12-18,2013
1,Argentina,AR,Córdoba,AR-X,-31.4311166,-64.1776228,2015-05-22,2015
1,Argentina,AR,Córdoba,AR-X,-31.4311166,-64.1776228,2016-02-25,2016
1,Argentina,AR,Córdoba,AR-X,-31.4305702,-64.1797324,2016-05-16,2016
1,Argentina,AR,Córdoba,AR-X,-31.4311166,-64.1776228,2016-07-01,2016
1,Argentina,AR,Córdoba,AR-X,-31.4310159,-64.1803157,2017-01-28,2017
1,Argentina,AR,Córdoba,AR-X,-31.4311166,-64.1776228,2017-04-28,2017
1,Argentina,AR,Córdoba,AR-X,-31.4310393,-64.1793743,2017-05-22,2017
1,Argentina,AR,Córdoba,AR-X,-31.4444313,-64.1872787,2017-05-17,2017
1,Argentina,AR,Córdoba,AR-X,-31.4311166,-64.1776228,2017-06-09,2017
1,Argentina,AR,Córdoba,AR-X,-31.4311166,-64.1776228,2017-08-02,2017
1,Argentina,AR,Córdoba,AR-X,-31.4311166,-64.1776228,2017-10-03,2017
1,Argentina,AR,Córdoba,AR-X,-31.3153681,-64.2044878,2018-03-11,2018
1,Argentina,AR,Córdoba,AR-X,-31.3153681,-64.2044878,2018-03-10,2018
1,Argentina,AR,Córdoba,AR-X,-31.4311166,-64.1776228,2018-05-05,2018
1,Argentina,AR,Córdoba,AR-X,-31.4312985,-64.1805508,2018-05-26,2018
1,Argentina,AR,Córdoba,AR-X,-31.4311166,-64.1776228,2018-05-18,2018
